Ligand,Additive,Base,Arylhalide,Yield
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 17 16 16 32 16 43 18 16 16 17 16 32 18 16 16 43 16 26 18 16 58 17 16 76 18 16 16 17 16 16 76 16 98 18 16 16 98 16 58 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13,12 16 16 20 22 16 16 17 16 18 22 23 19 20 13,12 16 23 17 16 18 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 16 16 13,12 16 16 20 22 23 16 22 16 16 22 16 20 13,70.41045785
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 17 16 16 32 16 43 18 16 16 17 16 32 18 16 16 43 16 26 18 16 58 17 16 76 18 16 16 17 16 16 76 16 98 18 16 16 98 16 58 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13,12 19 22 16 17 19 16 18 16 20 22 16 16 22 23 19 20 13,12 16 23 17 16 18 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 16 16 13,12 54 16 20 22 23 16 22 16 16 22 16 20 13,11.06445724
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 16 16 16 16 16 26 18 16 32 16 16 16 16 16 32 18 16 22 16 16 22 16 21 13,12 19 22 16 17 19 16 18 16 20 22 16 16 22 23 19 20 13,12 16 23 17 16 18 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 16 16 13,12 48 16 20 22 16 16 22 16 17 16 16 18 16 22 16 20 13,10.22354965
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 17 16 18 17 16 18 16 18 16 17 16 18 17 16 18 16 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13,12 16 16 19 16 17 16 20 22 16 19 23 22 16 20 18 22 19 13,12 16 23 20 16 16 16 23 21 16 20 22 23 16 16 16 21 13,12 16 16 20 22 16 16 22 16 17 16 17 27 18 17 27 18 27 18 16 22 16 20 13,20.0833829
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 17 16 16 32 16 43 18 16 16 17 16 32 18 16 16 43 16 26 18 16 58 17 16 76 18 16 16 17 16 16 76 16 98 18 16 16 98 16 58 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13,12 16 16 20 22 16 16 17 16 18 22 23 19 20 13,12 16 23 20 16 16 16 23 21 16 20 22 23 16 16 16 21 13,12 16 16 20 22 16 16 22 16 17 19 16 18 16 22 16 20 13,0.492662711
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 17 16 18 17 16 18 16 18 16 17 16 18 17 16 18 16 18 16 22 16 16 22 16 21 13,12 16 16 19 16 17 16 20 22 23 19 16 22 16 20 18 22 19 13,12 16 16 17 16 18 17 16 18 39 23 22 16 17 23 17 16 18 16 18 39 23 17 16 18 16 13,12 16 16 20 22 16 16 22 16 17 19 16 18 16 22 16 20 13,0.553507484
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 17 16 16 32 16 43 18 16 16 17 16 32 18 16 16 43 16 26 18 16 58 17 16 76 18 16 16 17 16 16 76 16 98 18 16 16 98 16 58 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13,12 16 16 20 22 16 17 16 17 19 16 16 18 22 19 18 16 22 23 19 20 13,12 16 23 20 16 16 16 23 21 16 20 22 23 16 16 16 21 13,12 54 16 20 22 16 23 22 16 16 22 16 20 13,43.17813797
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 16 16 16 16 16 26 18 16 32 16 16 16 16 16 32 18 16 22 16 16 22 16 21 13,12 16 16 20 22 23 19 16 22 16 20 13,12 16 23 20 16 16 16 23 21 16 20 22 23 16 16 16 21 13,12 48 16 20 22 23 16 22 16 16 22 16 20 13,69.51698512
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 17 16 16 32 16 43 18 16 16 17 16 32 18 16 16 43 16 26 18 16 58 17 16 76 18 16 16 17 16 16 76 16 98 18 16 16 98 16 58 18 16 17 19 16 18 22 16 16 22 16 21 19 16 13,12 16 16 19 16 17 16 20 22 23 19 16 22 16 20 18 22 19 13,12 16 23 17 16 18 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 45 17 23 17 16 18 16 18 17 23 17 16 18 16 18 22 23 16 16 13,12 54 16 20 22 16 16 22 16 17 16 16 18 16 22 16 20 13,1.023181291
12 16 16 17 16 18 16 17 16 22 16 17 16 17 16 18 16 18 16 22 16 20 16 17 16 18 16 18 22 16 20 16 21 22 16 17 45 17 16 26 16 16 16 16 16 26 18 16 32 16 16 16 16 16 32 18 16 22 16 16 22 16 21 13,12 16 20 17 16 21 22 16 16 22 16 16 22 16 21 18 22 16 19 23 22 16 20 13,12 16 16 17 16 18 17 16 18 39 23 22 16 17 23 17 16 18 16 18 39 23 17 16 18 16 13,12 54 16 20 22 23 16 22 16 16 22 16 20 13,35.53815083
