Ligand,Bases,Additives
P(C(C)(C)C)(C(C)(C)C)C(C)(C)C,[Na+].[O-]C(C)(C)C,[Li+].[Cl-]
P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,[K+].[O-]C(C)(C)C,[Na+].[Cl-]
P(C1CCCCC1)(C1CCCCC1)c1ccccc1,[Na+].[H-],[K+].[Cl-]
P(c1ccccc1)(c1ccccc1)c1ccccc1,[K+].N(Si(C)(C)C)(Si(C)(C)C)C,[Ag+].[B-](F)(F)(F)F
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)P(C3CCCCC3)C4CCCCC4,[Na+].N(Si(C)(C)C)(Si(C)(C)C)C,[Ag+].[O-]S(=O)(=O)C(F)(F)F
COC1=C(C=CC(OC)=C1)C2=CC=C(C=C2)P(C3CCCCC3)C4CCCCC4,[Li+].N(C(C)C)(C(C)C),[Br-].N(CCCC)(CCCC)(CCCC)CCCC
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2P(CC)CC)CC,[K+].[K+].O=C([O-])[O-],[Cl-].N(CCCC)(CCCC)(CCCC)CCCC
c1ccc(cc1P(c2ccccc2)c3ccccc3)c4cc5ccccc5cc4P(c6ccccc6)c7ccccc7,[Cs+].[Cs+].O=C([O-])[O-],C1OCCOCCOCCOCCOCCO1
c1ccc2c(c1)c(c(c(c2)P(c3ccccc3)c4ccccc4))c5ccccc5P(c6ccccc6)c7ccccc7,[Na+].[Na+].O=C([O-])[O-],[Cu+].[I-]
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2P(CCC)CCC)C(C)C,[Cs+].[F-],[Cu+].[Br-]
CC(C)C1=C(C=CC(=C1)C(C)C)C2=CC=C(C=C2P(C3CCCCC3)C4CCCCC4)C(C)C,[K+].[K+].[K+].O[P](O)(O)O,CC(=O)[O-].[Zn+2].CC(=O)[O-]
CCC1=CC=C(C=C1)C2=CC=C(C=C2P(C3CCCCC3)C4CCCCC4)O,[K+].[O-]P(=O)(O)O,[Mg+2].[Cl-].[Cl-]
P(C)(C)c1ccccc1,C1=CN2CCC1CC2,Oc1c(C(C)(C)C)cc(C)c(C(C)(C)C)c1C
C(C)(C)C1=CC=C(C=C1)C2=CC=C(C=C2P(CCC)CCC)C(C)(C)C,C1CN2CCCC2C=C1,CC(C)(C)C(=O)O
c1ccc(cc1P(c2ccccc2)Cc3ccccc3)Cc4ccccc4P(c5ccccc5)c6ccccc6,N(CC)(CC)CC,CC(=O)O
c1ccccc1P(CCP(c2ccccc2)c3ccccc3)c4ccccc4,CC(C)N(CC)C(C)C,
c1ccccc1P(CCc2ccccc2)Cc3ccccc3,N1CCN(CC1)CC,
P(C1=CC=C(C)C=C1)(C1=CC=C(C)C=C1)C1=CC=C(C)C=C1,[Na+].[O-]CC,
P(c1c(cc(cc1C)C)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,[K+].[O-]CC,
P(C)(C)(C)C1=CC=CC=C1,c1ccncc1,
