molecule_class,SMILES
Ligand,12 45 17 16 17 16 18 17 16 18 16 18 17 16 17 16 18 17 16 18 16 18 16 17 16 18 17 16 18 16 13
Ligand,12 45 17 16 20 16 16 16 16 16 20 18 17 16 20 16 16 16 16 16 20 18 16 20 16 16 16 16 16 20 13
Ligand,12 45 17 16 20 16 16 16 16 16 20 18 17 16 20 16 16 16 16 16 20 18 15 20 15 15 15 15 15 20 13
Ligand,12 45 17 15 20 15 15 15 15 15 20 18 17 15 20 15 15 15 15 15 20 18 15 20 15 15 15 15 15 20 13
Ligand,12 16 16 17 16 18 16 20 22 16 16 22 16 17 16 22 16 20 18 16 21 22 16 16 22 16 17 16 22 16 21 18 45 17 16 26 16 16 16 16 16 26 18 16 32 16 16 16 16 16 32 13
Ligand,12 16 19 16 20 22 16 17 16 22 16 16 17 19 16 18 22 16 20 18 16 21 22 16 16 22 16 17 16 22 16 21 18 45 17 16 26 16 16 16 16 16 26 18 16 32 16 16 16 16 16 32 13
Ligand,12 16 16 17 16 18 16 20 22 16 16 22 16 17 16 22 16 20 18 16 21 22 16 16 22 16 17 16 22 16 21 45 17 16 16 18 16 16 18 16 16 13
Ligand,12 15 20 15 15 15 17 15 15 20 45 17 15 21 15 15 15 15 15 21 18 15 26 15 15 15 15 15 26 18 15 32 15 15 43 15 15 15 15 15 43 15 15 32 45 17 15 58 15 15 15 15 15 58 18 15 76 15 15 15 15 15 76 13
Ligand,12 15 20 15 15 15 21 15 17 15 20 18 15 17 15 17 15 17 15 21 18 45 17 15 26 15 15 15 15 15 26 18 15 32 15 15 15 15 15 32 18 18 15 43 15 15 15 15 15 43 45 17 15 58 15 15 15 15 15 58 18 15 76 15 15 15 15 15 76 13
Ligand,12 16 16 17 16 18 16 20 22 16 16 22 16 17 16 22 16 20 18 16 21 22 16 16 22 16 17 16 22 16 21 45 17 16 16 16 18 16 16 16 18 16 17 16 18 16 13
Ligand,12 16 16 17 16 18 16 20 22 16 17 16 22 16 16 17 22 16 20 18 16 17 16 18 16 18 16 21 22 16 16 22 16 17 16 22 16 21 45 17 16 26 16 16 16 16 16 26 18 16 32 16 16 16 16 16 32 18 16 17 16 18 16 13
